gene,0h R1,0h R2,0h R3,1h R1,1h R2,1h R3,2h R1,2h R2,2h R3,3h R1,3h R2,3h R3,4h R1,4h R2,4h R3,5h R1,5h R2,5h R3,6h R1,6h R2,6h R3
Ctbp2,8.6,8.2,8.3,8.2,8.1,8.4,8.1,8.3,8.0,8.1,8.0,8.2,7.9,7.9,7.4,7.8,8.0,8.0,7.8,7.9,8.1
Rbpms,9.8,9.3,9.5,9.3,9.3,9.3,9.1,9.3,9.3,9.1,9.1,9.1,8.9,9.2,8.6,9.0,9.0,9.2,9.0,9.1,9.3
Smagp,9.0,9.1,8.8,8.9,8.8,8.7,8.6,8.6,8.8,8.5,8.5,8.6,8.4,8.5,8.1,8.4,8.2,8.5,8.4,8.5,8.7
Ddit4,8.4,7.9,7.8,7.5,7.7,7.5,7.6,7.5,7.4,7.1,7.5,7.6,7.3,7.5,7.6,7.4,7.4,7.5,7.6,7.5,7.6
Esam,7.5,7.9,7.7,7.4,7.7,7.6,7.2,7.4,7.1,7.2,7.1,7.1,7.2,7.0,7.4,7.3,7.1,7.2,7.4,7.0,7.2
Tcf15,9.4,9.6,9.4,9.2,9.3,9.0,8.7,8.9,8.9,8.4,8.6,8.8,8.9,8.6,8.4,8.8,8.4,8.7,8.9,8.8,9.2
8430410A17Rik,9.4,9.6,9.5,9.4,9.4,9.6,9.3,9.1,9.4,9.1,9.2,9.2,9.0,9.1,8.4,9.0,8.9,9.0,9.0,8.9,9.1
Rbm47,9.3,8.7,8.9,8.9,8.8,8.6,8.6,8.5,8.7,8.5,8.6,8.5,8.1,8.6,8.5,8.2,8.3,8.5,8.3,8.4,8.3
Fzd7,9.3,9.5,9.4,9.0,9.2,9.0,8.8,8.9,9.1,8.9,8.8,9.0,8.8,8.9,8.3,8.8,8.6,8.9,8.9,8.7,8.8
Nid2,9.4,9.7,9.5,9.5,9.4,9.3,9.5,9.2,9.4,9.3,9.3,9.2,9.3,9.1,9.7,9.2,9.4,9.2,9.0,8.9,8.8
Lpar6,8.2,8.2,8.3,8.1,8.0,7.7,7.9,7.9,7.9,7.8,7.8,7.8,7.7,7.8,8.0,7.8,7.6,7.7,7.6,7.7,7.6
Lefty1,8.8,9.0,8.8,8.6,8.7,8.4,8.3,8.3,8.3,8.1,8.1,8.2,8.2,8.2,8.3,8.1,8.0,8.2,8.2,8.2,8.3
Raet1d,7.9,7.9,7.7,7.7,7.9,7.5,7.4,7.5,7.4,7.3,7.2,7.3,7.1,7.2,7.5,7.1,7.1,7.2,7.2,7.1,7.2
Raet1e,7.9,7.9,7.7,7.7,7.9,7.5,7.4,7.5,7.4,7.3,7.2,7.3,7.1,7.2,7.5,7.1,7.1,7.2,7.2,7.1,7.2
Liph,9.5,9.7,9.4,9.5,9.6,9.4,9.1,9.2,9.2,9.0,9.1,9.1,9.1,9.0,9.3,8.9,8.8,8.8,8.9,8.8,8.9
Cyp2s1,8.1,7.8,7.6,7.6,7.6,7.9,7.3,7.4,7.3,7.2,7.3,7.2,7.1,7.2,7.2,7.2,7.1,7.1,7.0,7.2,7.2
Edn2,7.0,7.4,7.6,6.9,6.9,6.8,6.8,6.7,6.8,6.7,6.7,6.7,6.8,6.6,6.8,6.7,6.6,6.6,6.7,6.6,6.5
Ei24,9.2,9.1,9.1,8.8,8.8,8.8,8.6,8.7,8.8,8.5,8.5,8.4,8.4,8.4,8.2,8.3,8.4,8.3,8.3,8.3,8.5
Otx2,9.4,9.6,9.3,9.0,9.1,9.0,8.8,8.7,9.0,8.6,8.6,8.8,8.7,8.7,8.6,8.7,8.4,8.7,8.6,8.6,8.5
Lefty2,8.6,8.6,8.7,8.5,8.5,8.5,8.2,8.3,8.2,7.8,8.0,8.1,8.0,7.9,7.6,7.8,7.8,7.9,7.8,7.7,7.8
Hmgxb4,9.1,8.7,8.7,8.7,8.6,8.8,8.3,8.5,8.4,8.3,8.3,8.2,8.1,8.2,8.0,8.1,8.0,8.1,7.8,8.0,8.1
Lpar4,8.8,8.9,8.9,8.8,8.7,8.8,8.5,8.5,8.4,8.4,8.2,8.1,8.0,8.0,8.4,7.9,7.9,7.8,7.8,7.9,7.7
Id1,9.0,9.4,9.2,8.5,8.4,8.4,8.0,8.1,8.1,8.2,7.9,8.0,8.0,8.0,8.1,8.0,7.8,7.9,8.0,8.0,8.0
Ctgf,9.3,9.3,9.0,8.5,8.5,8.6,8.2,8.2,8.3,8.4,8.2,8.3,8.1,8.3,8.4,8.1,8.2,8.4,8.1,8.0,7.8
