gene,pvalue
Asxl3,392.35
Ccdc90b,273.33
Chrm2,265.56
Actrt1,247.01
Bmpr1b,241.55
Pla2r1,141.43
Ccrl1,3100
Cyyr1,3100
Otx2,3100
1700072E05Rik,3100
Kcnj16,3100
Fam50b,3100
Edn2,2597.25
Gdi2,2342.76
Pgap1,2208.86
Pgrmc2,1779.76
Nsmaf,1775.59
Ccng2,1633.79
Lypd1,1532.95
Fbxl4,1158.17
Ssh1,1147.75
Gyg,1142.08
Slc39a11,1041.65
Srgap2,1009.2
Dhx32,856.4
1700112E06Rik,805.09
Hsf2,784.24
Kcna5,673.02
Rasl11b,655.41
Speer3,624.13
Npr3,553.51
Rrp15,524.8
Pter,515.41
Utp18,502.83
Hdc,440.47
Cdh10,429.06
Celf2,402.58
Blnk,393.28
Syt13,366.15
Slc39a10,310.93
Olfr1324,290.55
Far2,245.74
Ube2e3,241.34
AI481877,226.71
Fat3,202.5
1700011F03Rik,192.41
Ranbp3l,167.07
Ambp,3190.83
Hnf4g,3100
Gm16140,3100
Tmem28,3100
Lrrn2,3100
Cacna2d1,2879.74
Rasgrf2,2783.11
Sash1,2746.29
Was,2741.52
Gm10530,2598.64
Rps13-ps1,2267.66
5730522E02Rik,2044.98
Cntnap3,1712.4
Camk2d,1523.99
Zfp609,1514.9
Adamts20,1460.32
Olfr435,1275.53
Cltc,1110.48
Myo10,971.18
Pou1f1,964.07
Adamts9,804.06
4933427D14Rik,774.56
Agap1,771.21
Grm8,715.89
Serinc3,635.52
2610528E23Rik,596.43
Serinc1,570.22
Gypa,519.35
Gpr141,494.27
Fbxw7,424.02
Impad1,366.27
Gm11353,310.31
Gm9966,3100
Olfr1370,3100
Egflam,3100
Zfand5,3100
Cdh26,2809.8
Fam110b,2272.35
Vmn2r96,2261.59
Sacs,2242.58
Gli3,2113.17
Ect2,1992.41
Akirin2,1892.21
Cdyl,1824.78
Dhrs7c,1610.88
Arhgef3,1566.76
Ccdc42,1403.8
Snx19,1307.62
Pnpt1,1169.38
Bod1,1155.82
Tmem106b,1134.05
Gm9930,846.1
Asb5,821.13
Chrm2,744.91
Dab2,693.17
Gm5879,661.99
Arhgef3,480.41
Kazn,433.07
Myc,386
Gm10247,354.07
Irx3,332.25
9530077C05Rik,318.38
Spock1,317.51
Oc90,287.4
Sort1,275.7
Sall3,235.93
Bmp8b,192.83
Cep170,3196.21
Cyp7a1,3100
Gm11678,3100
Lrba,3100
Rgnef,3100
Gm15155,2074.13
Gm9839,1867.05
Trmt11,1610.73
Tmem132c,1454.1
4931417E11Rik,1410.14
Lrriq1,1336.88
Dsel,1318.18
Pot1a,1236.72
Lhfpl2,1210.67
Cd55,1051.12
Atl2,998.31
Dtwd2,914.24
Dtx4,872.96
Gm6816,685.08
Mid1,571.26
4922502B01Rik,565
Obfc2a,557.08
Tmem45a,524.8
Plxna4,516.79
Ecd,510.67
Timp3,502.62
L3mbtl3,494.04
Rps6kc1,450.34
D430041D05Rik,432.13
Als2cr12,399.12
Plekhm3,352.28
Pvrl1,328.91
Hace1,182.71
Mkrn1,166.68
Rgs12,162.33
Pcca,124.63
Tmcc1,3100
Nrp2,3100
Gm4066,3100
Zfp804a,3100
Cblb,3100
Dhrs9,3100
Csmd3,3100
AW209491,3100
Lrrk1,3100
Serbp1,2902.57
Pcdh18,2744.32
Lrrc49,1741.33
Psat1,1551.87
Vmn2r99,1520.61
Kcnip4,1392.26
Dlgap1,1302.21
Srd5a1,1051.2
Cep152,1037.48
Golph3,990.92
Fam101b,990.52
Dnaja2,804.94
Gm8910,687.31
Gdap1l1,653.97
Tctex1d1,565.4
Ppargc1a,542.91
Otx2,492.25
Kcnma1,471.58
Kcns2,459.52
Gm5506,443.06
Lypd6b,417.3
1700001L05Rik,406.12
Gatsl2,400.19
Mgat4c,378.62
Pgr15l,329.02
Adamts9,324.44
App,283.36
Zpld1,272.18
Dennd1a,270.58
Gucy2g,261.13
Vmn2r88,222.84
Bcl7c,195.3
Cldn22,164.88
Nrxn3,3100
Ntng1,3100
Gm5528,3100
Scmh1,3100
Cntln,2622.05
Cep70,2378.35
Clec3a,2090.55
Ptpn14,2071.73
Cul1,2024.67
Kcnc1,1985.34
Lce3a,1933.4
Rbfox1,1634.79
Pde11a,1614.88
Fbxl20,1447.65
Elmo1,1364.11
Agbl1,1249.13
Rev1,1116.87
Ibtk,1116.64
Dhx35,1089.37
Tas2r134,1009.83
Gm14862,894.63
Galntl6,788.49
Trim32,758.31
Fbxl14,670.25
Lypd6b,627.73
Gabrg2,575.04
Sall2,573.09
Gm17507,519.27
Zdhhc9,506.2
Foxc1,491.97
Skap1,472.02
Plxna2,399.18
Pstpip1,323.81
Onecut1,316.55
Slc6a11,289.3
Myh14,227.12
Cd36,218.28
Socs5,206.56
Shroom4,205.47
Fhad1,142.99
Epha6,131.15
Gm8910,3212.16
Trim42,3100
Grm3,3100
Gm8223,2841.15
Sorbs1,2763.9
Gm4392,2354.24
Gm17474,2254.61
Lrguk,2232.32
Fam86,2048.27
Lpin1,1815.12
A330070K13Rik,1779.68
Thsd7a,1503.6
Rapgef4,1338.74
Nsun2,1251.57
Il1rapl1,1250.26
Psen2,1025.44
Cpeb2,1018.8
Mettl7a1,1002.17
Amd2,950.41
Sv2c,941.67
Csmd1,905.58
Fam84b,883.5
Chmp4b,870.07
Kcnma1,868.22
Sorcs1,854.43
Vstm2a,849.57
Tfdp2,837.73
Rad23b,765.4
Smgc,734.42
4930584F24Rik,727.64
Rbm11,671.47
Dab1,666.23
1700015F17Rik,635.98
Amot,599.92
Twsg1,596.58
Rbms1,592.79
Fam86,539.76
Ripk2,525.49
Mtnr1b,506.09
Scnn1b,491.7
Herc2,467.58
Zwint,450.16
6720489N17Rik,430.47
Olfr1337,425.04
Unc5d,423.7
Akr1cl,399.96
Suclg2,387
Commd9,353.44
Pbk,298.26
1810011H11Rik,159.25
Edn1,3100
Wnt8a,3100
Dpp10,3100
Fbxl7,3100
Olfr554,2847.41
Kcnh8,2630.6
N4bp2,2461.4
Wac,2435.67
Sh3gl2,2426.4
Svip,2059.47
Mettl8,1816.11
Hs3st5,1722.17
Akr1cl,1557.5
Npepl1,1330.71
Sfmbt2,1293.98
Itih5,1251.05
Stx18,1177.3
Gm9008,1060.25
Wbscr17,909.27
Hpgds,909.1
Nmur2,894.72
A530053G22Rik,848.08
Htra4,818.94
4930533L02Rik,808.85
Cd47,742.7
Efna5,669.02
1600021P15Rik,640.54
9430031J16Rik,586.97
